time,s,i
0.5700000000000001,0.5745787560872198,0.40857764998350826
0.58,0.5635334711482277,0.41902220760585873
0.59,0.5464910919346508,0.4351195243205939
0.6,0.5241298221390653,0.45620210962996344
0.61,0.5079276551727373,0.47143826074237305
0.62,0.4946993733982371,0.4838526789651583
0.63,0.4762156375339024,0.5011688031913528
0.64,0.45302822892893174,0.522834618505818
0.65,0.4340471477096439,0.5405063800177995
0.66,0.4112825929656077,0.5616319599649617
0.67,0.3976315492150854,0.5742457725646887
0.68,0.3791133576931988,0.5913086130556994
0.6900000000000001,0.3604208165844144,0.6084603434866331
0.7000000000000001,0.34334010925555897,0.624060081683114
0.71,0.3284927393742599,0.6375560792770429
0.72,0.3156306532785582,0.6491945761048165
0.73,0.3025903577058758,0.6609437764292605
0.74,0.2830891444834179,0.6784310030930516
0.75,0.2681776341966737,0.691696442855576
0.76,0.2563957423603026,0.7021054233341841
0.77,0.2412532283380818,0.71540233899023
0.78,0.22909001447608318,0.7259900280984011
0.79,0.2132678856228395,0.7396538720181236
0.8,0.20079189283911797,0.7503017659610249
0.81,0.19090081530483824,0.7586534577732232
0.8200000000000001,0.18101958067788837,0.7669171582812166
0.8300000000000001,0.16923840142903496,0.7766645141715806
0.84,0.1587532004168391,0.7852136148137401
0.85,0.15013410685867112,0.7921360706160359
0.86,0.14227858716326602,0.7983564855666377
0.87,0.13196762662041525,0.8064027517279345
0.88,0.12278016217464953,0.81341461999695
0.89,0.11324597565560347,0.8205221658971608
0.9,0.10693627510507668,0.8250907172274838
0.91,0.09947612375953253,0.8303707876854229
0.92,0.09035183272618084,0.8366287216069765
0.93,0.08395240569595078,0.8408147779875956
0.9400000000000001,0.08057131534327254,0.8429373091287147
0.9500000000000001,0.07632567508920139,0.8455362559240225
0.96,0.0716141517448112,0.8483187415712011
0.97,0.06743680316728999,0.8506732361475647
0.98,0.06270009945422171,0.8532149664324563
0.99,0.05773808188685742,0.8557038930425511
1.0,0.05295716496492065,0.8578971996918902
1.01,0.04963074189790582,0.8592607019546461
1.02,0.04617766511346503,0.8605395487077133
1.03,0.04411576137596572,0.861206091903736
1.04,0.0402174346132605,0.8623429858466303
1.05,0.03836981753604567,0.8627549560652579
1.06,0.0357394266212328,0.8632430455211002
1.07,0.03245559751226062,0.8636555454186963
1.08,0.03044320668877317,0.8637302978052322
1.09,0.027421992879237134,0.8636502308425683
1.1,0.025091724753204973,0.8633249341721541
1.11,0.023716627829842903,0.8629874434086304
1.12,0.021981039799041632,0.8624361495795118
1.1300000000000001,0.020763558068591745,0.861922762141606
1.1400000000000001,0.018993929703755876,0.8610290277909364
1.1500000000000001,0.017891718431248177,0.860317812205333
1.16,0.016767847635789437,0.859478709880404
1.17,0.015783663666509302,0.8586286841342786
1.18,0.014520088768406611,0.8573905131513224
1.19,0.01351191327336438,0.8562289027226986
1.2,0.012602856737765561,0.8550355170532055
1.21,0.011723730487307992,0.8537347648920903
1.22,0.011012726104526928,0.8525505630531007
1.23,0.010459797153925978,0.851534486333146
1.24,0.009711397492749484,0.850046944984416
1.25,0.009117421380029252,0.8487295840793316
1.26,0.008672846071414738,0.8476503756540239
1.27,0.008145194624307225,0.8462767933439157
1.28,0.007574790325141979,0.8446587742632737
1.29,0.006977855557230337,0.8427930386869882
1.3,0.006644074790387963,0.8416319978889135
1.31,0.006285928117307248,0.8403056235584131
1.32,0.00584437713898083,0.8385520383825877
1.33,0.005396517346734845,0.8366051830195883
1.34,0.004934970130235629,0.8343940156705859
1.35,0.004566830399042965,0.8324309626496106
1.36,0.004276973233565995,0.8307373793039065
1.37,0.004069749079070299,0.8294305058771575
1.3800000000000001,0.0038567542926013307,0.8280079976024216
1.3900000000000001,0.0036456286189443586,0.8265084420137443
1.4000000000000001,0.003395587293427368,0.8246151516291135
1.41,0.0032102588345624228,0.8230948798960058
1.42,0.0030192769322055744,0.8214267642127111
1.43,0.002842001444772312,0.8197692100019481
1.44,0.0026170451351938064,0.8175205980143467
1.45,0.002424297325386117,0.8154117542407734
1.46,0.00222709707057333,0.8130669775283352
1.47,0.0021123346387888907,0.8115714257799926
1.48,0.001987214886392264,0.809845516727296
1.49,0.001881149190073211,0.8082836435244717
1.5,0.0017537404921574415,0.8062945152507968
1.51,0.0016163726465658135,0.8039841177662639
1.52,0.001511772829597492,0.8020664461180445
1.53,0.0014000818004305951,0.7998693612563291
1.54,0.0013073462178786958,0.7978922270970876
1.55,0.0012163106719304624,0.7958072049377568
1.56,0.0010956129735660725,0.7928268831672212
1.57,0.001012246855952271,0.7905324103596972
1.58,0.0009580467277983926,0.7889133486793812
1.59,0.0008919123880878843,0.7868222833168365
1.6,0.000841402690630574,0.785103081026186
1.61,0.0007818099190206445,0.7829493767242928
1.62,0.0007032969047853834,0.779889618356751
1.6300000000000001,0.0006539791072704312,0.77774756980265
1.6400000000000001,0.0006261501025350642,0.7764456064817407
1.6500000000000001,0.0005860207298528044,0.7744829526699382
1.6600000000000001,0.0005448698761781512,0.7723297030325996
1.67,0.000522530014044839,0.7710707815841191
1.68,0.000487946846068998,0.7690371122686074
1.69,0.0004636228554639854,0.7675036339851935
1.7,0.00044512127618726044,0.7662750565096229
1.71,0.0004121531252179343,0.7639934763051054
1.72,0.00038921158026967935,0.7622769592950472
1.73,0.00036090786976511127,0.760032743383564
1.74,0.00033508840298529,0.7578229276523789
1.75,0.00031183393079491377,0.7556774939531044
1.76,0.00029475095394471633,0.7539826303652949
1.77,0.00027677707288795427,0.7520949826512162
1.78,0.00026704163488777704,0.7510055214168507
1.79,0.00024928279543458433,0.7489450884674261
1.8,0.00023549351947420565,0.7472302591557676
1.81,0.00022630752603237098,0.7460204634307389
1.82,0.00021196145065021488,0.7440538110676147
1.83,0.0002005079680932335,0.7423766493382654
1.84,0.00019147714245202406,0.7409781884618484
1.85,0.00018236914879458707,0.7395008276365646
1.86,0.00017242656505554312,0.7378070514504415
